0.5	0.05	1
0.5	0.08	1
0.5	0.1	1
0.5	0.2	1
0.5	0.4	1
0.5	0.6	1
0.5	0.8	1
0.5	0.9	1
0.75	0.05	1
0.75	0.08	1
0.75	0.1	1
0.75	0.2	1
0.75	0.4	1
0.75	0.6	1
0.75	0.8	1
0.75	0.9	1
1	0.05	1
1	0.08	1
1	0.1	1
1	0.2	1
1	0.4	1
1	0.6	1
1	0.8	1
1	0.9	1
3	0.05	1
3	0.08	1
3	0.1	1
3	0.2	1
3	0.4	1
3	0.6	1
3	0.8	1
3	0.9	1
5	0.05	1
5	0.08	1
5	0.1	1
5	0.2	1
5	0.4	1
5	0.6	1
5	0.8	1
5	0.9	1
7	0.05	1
7	0.08	1
7	0.1	1
7	0.2	1
7	0.4	1
7	0.6	1
7	0.8	1
7	0.9	1
9	0.05	1
9	0.08	1
9	0.1	1
9	0.2	1
9	0.4	1
9	0.6	1
9	0.8	1
9	0.9	1
