# curve 5 (die wall), step =        1, time =   8.00000000E-01
# N1 = tau_xx - tau_yy = G ( c_xx - c_yy ),  G =  9.0000E-01  (polymer part only)
#              x               y        pressure            c_xy        gammadot            c_xx            c_yy              N1
 -3.00000000E+00  1.00000000E+00  1.28325407E+00  0.00000000E+00  3.99992725E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.95108291E+00  1.00000000E+00  1.26369408E+00  0.00000000E+00  3.99995463E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.90216582E+00  1.00000000E+00  1.24413409E+00  0.00000000E+00  3.99998331E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.85324873E+00  1.00000000E+00  1.22456526E+00  0.00000000E+00  3.99999657E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.80433164E+00  1.00000000E+00  1.20499644E+00  0.00000000E+00  4.00000014E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.75541455E+00  1.00000000E+00  1.18543000E+00  0.00000000E+00  4.00000056E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.70649746E+00  1.00000000E+00  1.16586356E+00  0.00000000E+00  4.00000044E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.65758037E+00  1.00000000E+00  1.14629648E+00  0.00000000E+00  3.99999905E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.60866328E+00  1.00000000E+00  1.12672941E+00  0.00000000E+00  3.99999697E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.55974619E+00  1.00000000E+00  1.10716253E+00  0.00000000E+00  3.99999424E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.51082911E+00  1.00000000E+00  1.08759566E+00  0.00000000E+00  3.99999123E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.46191202E+00  1.00000000E+00  1.06802873E+00  0.00000000E+00  3.99998730E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.41299493E+00  1.00000000E+00  1.04846180E+00  0.00000000E+00  3.99998297E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.36407784E+00  1.00000000E+00  1.02889495E+00  0.00000000E+00  3.99997673E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.31516075E+00  1.00000000E+00  1.00932810E+00  0.00000000E+00  3.99996961E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.26624366E+00  1.00000000E+00  9.89761330E-01  0.00000000E+00  3.99995961E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.21732657E+00  1.00000000E+00  9.70194560E-01  0.00000000E+00  3.99994807E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.16840948E+00  1.00000000E+00  9.50627779E-01  0.00000000E+00  3.99993276E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.11949239E+00  1.00000000E+00  9.31060998E-01  0.00000000E+00  3.99991556E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.07057530E+00  1.00000000E+00  9.11494799E-01  0.00000000E+00  3.99989075E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.02165821E+00  1.00000000E+00  8.91928600E-01  0.00000000E+00  3.99986296E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.97274112E+00  1.00000000E+00  8.72362461E-01  0.00000000E+00  3.99983056E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.92382403E+00  1.00000000E+00  8.52796322E-01  0.00000000E+00  3.99979182E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.87490694E+00  1.00000000E+00  8.33231323E-01  0.00000000E+00  3.99974077E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.82598985E+00  1.00000000E+00  8.13666323E-01  0.00000000E+00  3.99968346E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.77707276E+00  1.00000000E+00  7.94102975E-01  0.00000000E+00  3.99961067E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.72815567E+00  1.00000000E+00  7.74539627E-01  0.00000000E+00  3.99952296E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
