# row lambda betav alpha
1 1.0000000000000000 0.1000000000000000 0.1000000000000000
2 2.7999999999999998 0.1000000000000000 0.1000000000000000
3 4.5999999999999996 0.1000000000000000 0.1000000000000000
4 6.4000000000000004 0.1000000000000000 0.1000000000000000
5 8.1999999999999993 0.1000000000000000 0.1000000000000000
6 10.0000000000000000 0.1000000000000000 0.1000000000000000
7 1.0000000000000000 0.3000000000000000 0.1000000000000000
8 2.7999999999999998 0.3000000000000000 0.1000000000000000
9 4.5999999999999996 0.3000000000000000 0.1000000000000000
10 6.4000000000000004 0.3000000000000000 0.1000000000000000
11 8.1999999999999993 0.3000000000000000 0.1000000000000000
12 10.0000000000000000 0.3000000000000000 0.1000000000000000
13 1.0000000000000000 0.5000000000000000 0.1000000000000000
14 2.7999999999999998 0.5000000000000000 0.1000000000000000
15 4.5999999999999996 0.5000000000000000 0.1000000000000000
16 6.4000000000000004 0.5000000000000000 0.1000000000000000
17 8.1999999999999993 0.5000000000000000 0.1000000000000000
18 10.0000000000000000 0.5000000000000000 0.1000000000000000
19 1.0000000000000000 0.7000000000000001 0.1000000000000000
20 2.7999999999999998 0.7000000000000001 0.1000000000000000
21 4.5999999999999996 0.7000000000000001 0.1000000000000000
22 6.4000000000000004 0.7000000000000001 0.1000000000000000
23 8.1999999999999993 0.7000000000000001 0.1000000000000000
24 10.0000000000000000 0.7000000000000001 0.1000000000000000
25 1.0000000000000000 0.9000000000000000 0.1000000000000000
26 2.7999999999999998 0.9000000000000000 0.1000000000000000
27 4.5999999999999996 0.9000000000000000 0.1000000000000000
28 6.4000000000000004 0.9000000000000000 0.1000000000000000
29 8.1999999999999993 0.9000000000000000 0.1000000000000000
30 10.0000000000000000 0.9000000000000000 0.1000000000000000
31 1.0000000000000000 0.1000000000000000 0.2333333333333333
32 2.7999999999999998 0.1000000000000000 0.2333333333333333
33 4.5999999999999996 0.1000000000000000 0.2333333333333333
34 6.4000000000000004 0.1000000000000000 0.2333333333333333
35 8.1999999999999993 0.1000000000000000 0.2333333333333333
36 10.0000000000000000 0.1000000000000000 0.2333333333333333
37 1.0000000000000000 0.3000000000000000 0.2333333333333333
38 2.7999999999999998 0.3000000000000000 0.2333333333333333
39 4.5999999999999996 0.3000000000000000 0.2333333333333333
40 6.4000000000000004 0.3000000000000000 0.2333333333333333
41 8.1999999999999993 0.3000000000000000 0.2333333333333333
42 10.0000000000000000 0.3000000000000000 0.2333333333333333
43 1.0000000000000000 0.5000000000000000 0.2333333333333333
44 2.7999999999999998 0.5000000000000000 0.2333333333333333
45 4.5999999999999996 0.5000000000000000 0.2333333333333333
46 6.4000000000000004 0.5000000000000000 0.2333333333333333
47 8.1999999999999993 0.5000000000000000 0.2333333333333333
48 10.0000000000000000 0.5000000000000000 0.2333333333333333
49 1.0000000000000000 0.7000000000000001 0.2333333333333333
50 2.7999999999999998 0.7000000000000001 0.2333333333333333
51 4.5999999999999996 0.7000000000000001 0.2333333333333333
52 6.4000000000000004 0.7000000000000001 0.2333333333333333
53 8.1999999999999993 0.7000000000000001 0.2333333333333333
54 10.0000000000000000 0.7000000000000001 0.2333333333333333
55 1.0000000000000000 0.9000000000000000 0.2333333333333333
56 2.7999999999999998 0.9000000000000000 0.2333333333333333
57 4.5999999999999996 0.9000000000000000 0.2333333333333333
58 6.4000000000000004 0.9000000000000000 0.2333333333333333
59 8.1999999999999993 0.9000000000000000 0.2333333333333333
60 10.0000000000000000 0.9000000000000000 0.2333333333333333
61 1.0000000000000000 0.1000000000000000 0.3666666666666667
62 2.7999999999999998 0.1000000000000000 0.3666666666666667
63 4.5999999999999996 0.1000000000000000 0.3666666666666667
64 6.4000000000000004 0.1000000000000000 0.3666666666666667
65 8.1999999999999993 0.1000000000000000 0.3666666666666667
66 10.0000000000000000 0.1000000000000000 0.3666666666666667
67 1.0000000000000000 0.3000000000000000 0.3666666666666667
68 2.7999999999999998 0.3000000000000000 0.3666666666666667
69 4.5999999999999996 0.3000000000000000 0.3666666666666667
70 6.4000000000000004 0.3000000000000000 0.3666666666666667
71 8.1999999999999993 0.3000000000000000 0.3666666666666667
72 10.0000000000000000 0.3000000000000000 0.3666666666666667
73 1.0000000000000000 0.5000000000000000 0.3666666666666667
74 2.7999999999999998 0.5000000000000000 0.3666666666666667
