# row lambda betav alpha
1 1.5 0.25 0.15
2 1.5 0.25 0.25
3 1.5 0.25 0.35
4 1.5 0.65 0.15
5 1.5 0.65 0.25
6 1.5 0.65 0.35
7 1.5 0.85 0.15
8 1.5 0.85 0.25
9 1.5 0.85 0.35
10 5.5 0.25 0.15
11 5.5 0.25 0.25
12 5.5 0.25 0.35
13 5.5 0.65 0.15
14 5.5 0.65 0.25
15 5.5 0.65 0.35
16 5.5 0.85 0.15
17 5.5 0.85 0.25
18 5.5 0.85 0.35
19 9.5 0.25 0.15
20 9.5 0.25 0.25
21 9.5 0.25 0.35
22 9.5 0.65 0.15
23 9.5 0.65 0.25
24 9.5 0.65 0.35
25 9.5 0.85 0.15
26 9.5 0.85 0.25
27 9.5 0.85 0.35
