# curve 5 (die wall), step =        1, time =   8.00000000E-01
# N1 = tau_xx - tau_yy = G ( c_xx - c_yy ),  G =  6.0000E-01  (polymer part only)
#              x               y        pressure            c_xy        gammadot            c_xx            c_yy              N1
 -3.00000000E+00  1.00000000E+00  1.71055131E+00  0.00000000E+00  3.99991522E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.95108291E+00  1.00000000E+00  1.68447084E+00  0.00000000E+00  3.99994852E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.90216582E+00  1.00000000E+00  1.65839037E+00  0.00000000E+00  3.99998174E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.85324873E+00  1.00000000E+00  1.63229914E+00  0.00000000E+00  3.99999666E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.80433164E+00  1.00000000E+00  1.60620792E+00  0.00000000E+00  4.00000073E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.75541455E+00  1.00000000E+00  1.58011911E+00  0.00000000E+00  4.00000111E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.70649746E+00  1.00000000E+00  1.55403031E+00  0.00000000E+00  4.00000072E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.65758037E+00  1.00000000E+00  1.52794095E+00  0.00000000E+00  3.99999912E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.60866328E+00  1.00000000E+00  1.50185159E+00  0.00000000E+00  3.99999696E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.55974619E+00  1.00000000E+00  1.47576241E+00  0.00000000E+00  3.99999423E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.51082911E+00  1.00000000E+00  1.44967322E+00  0.00000000E+00  3.99999122E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.46191202E+00  1.00000000E+00  1.42358399E+00  0.00000000E+00  3.99998728E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.41299493E+00  1.00000000E+00  1.39749477E+00  0.00000000E+00  3.99998295E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.36407784E+00  1.00000000E+00  1.37140563E+00  0.00000000E+00  3.99997668E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.31516075E+00  1.00000000E+00  1.34531649E+00  0.00000000E+00  3.99996957E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.26624366E+00  1.00000000E+00  1.31922744E+00  0.00000000E+00  3.99995952E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.21732657E+00  1.00000000E+00  1.29313840E+00  0.00000000E+00  3.99994798E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.16840948E+00  1.00000000E+00  1.26704940E+00  0.00000000E+00  3.99993266E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.11949239E+00  1.00000000E+00  1.24096040E+00  0.00000000E+00  3.99991554E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.07057530E+00  1.00000000E+00  1.21487206E+00  0.00000000E+00  3.99989096E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.02165821E+00  1.00000000E+00  1.18878372E+00  0.00000000E+00  3.99986309E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.97274112E+00  1.00000000E+00  1.16269565E+00  0.00000000E+00  3.99983023E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.92382403E+00  1.00000000E+00  1.13660758E+00  0.00000000E+00  3.99979113E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.87490694E+00  1.00000000E+00  1.11052087E+00  0.00000000E+00  3.99974012E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.82598985E+00  1.00000000E+00  1.08443416E+00  0.00000000E+00  3.99968296E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.77707276E+00  1.00000000E+00  1.05834974E+00  0.00000000E+00  3.99961068E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.72815567E+00  1.00000000E+00  1.03226533E+00  0.00000000E+00  3.99952254E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.67923858E+00  1.00000000E+00  1.00618440E+00  0.00000000E+00  3.99941067E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.63032150E+00  1.00000000E+00  9.80103463E-01  0.00000000E+00  3.99929133E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.58140441E+00  1.00000000E+00  9.54026613E-01  0.00000000E+00  3.99914907E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.53248732E+00  1.00000000E+00  9.27949762E-01  0.00000000E+00  3.99900505E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.48357023E+00  1.00000000E+00  9.01883901E-01  0.00000000E+00  3.99883667E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.43465314E+00  1.00000000E+00  8.75818039E-01  0.00000000E+00  3.99863557E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.38573605E+00  1.00000000E+00  8.49766092E-01  0.00000000E+00  3.99839041E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.33681896E+00  1.00000000E+00  8.23714145E-01  0.00000000E+00  3.99816177E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.28790187E+00  1.00000000E+00  7.97682088E-01  0.00000000E+00  3.99793306E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.23898478E+00  1.00000000E+00  7.71650030E-01  0.00000000E+00  3.99770760E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.19006769E+00  1.00000000E+00  7.45650365E-01  0.00000000E+00  3.99751286E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.14115060E+00  1.00000000E+00  7.19650700E-01  0.00000000E+00  3.99731065E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.09223351E+00  1.00000000E+00  6.93709171E-01  0.00000000E+00  3.99731606E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -1.04331642E+00  1.00000000E+00  6.67767642E-01  0.00000000E+00  3.99737961E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -9.94399333E-01  1.00000000E+00  6.41882451E-01  0.00000000E+00  3.99770790E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -9.45482243E-01  1.00000000E+00  6.15997259E-01  0.00000000E+00  3.99819051E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -8.96565154E-01  1.00000000E+00  5.90223653E-01  0.00000000E+00  3.99946216E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -8.47648064E-01  1.00000000E+00  5.64450046E-01  0.00000000E+00  4.00102297E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -7.99501858E-01  1.00000000E+00  5.39247134E-01  0.00000000E+00  4.00373435E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -7.51355652E-01  1.00000000E+00  5.14044222E-01  0.00000000E+00  4.00712668E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -7.08111109E-01  1.00000000E+00  4.91574238E-01  0.00000000E+00  4.01180309E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -6.64866566E-01  1.00000000E+00  4.69104254E-01  0.00000000E+00  4.01799520E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -6.26599939E-01  1.00000000E+00  4.49363928E-01  0.00000000E+00  4.02626156E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -5.88333313E-01  1.00000000E+00  4.29623603E-01  0.00000000E+00  4.03565429E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -5.54471587E-01  1.00000000E+00  4.12475070E-01  0.00000000E+00  4.04781262E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -5.20609860E-01  1.00000000E+00  3.95326537E-01  0.00000000E+00  4.06140947E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
