# curve 5 (die wall), step =        1, time =   8.00000000E-01
# N1 = tau_xx - tau_yy = G ( c_xx - c_yy ),  G =  1.8400E-01  (polymer part only)
#              x               y        pressure            c_xy        gammadot            c_xx            c_yy              N1
 -3.00000000E+00  1.00000000E+00  5.31304742E-01  0.00000000E+00  3.99994468E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.95108291E+00  1.00000000E+00  5.23211294E-01  0.00000000E+00  3.99996410E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.90216582E+00  1.00000000E+00  5.15117847E-01  0.00000000E+00  3.99998621E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.85324873E+00  1.00000000E+00  5.07020021E-01  0.00000000E+00  3.99999645E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.80433164E+00  1.00000000E+00  4.98922195E-01  0.00000000E+00  3.99999887E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.75541455E+00  1.00000000E+00  4.90825915E-01  0.00000000E+00  3.99999910E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.70649746E+00  1.00000000E+00  4.82729634E-01  0.00000000E+00  3.99999942E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.65758037E+00  1.00000000E+00  4.74632843E-01  0.00000000E+00  3.99999859E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.60866328E+00  1.00000000E+00  4.66536052E-01  0.00000000E+00  3.99999692E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.55974619E+00  1.00000000E+00  4.58439434E-01  0.00000000E+00  3.99999424E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.51082911E+00  1.00000000E+00  4.50342815E-01  0.00000000E+00  3.99999122E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
 -2.46191202E+00  1.00000000E+00  4.42246141E-01  0.00000000E+00  3.99998729E-01  1.00000000E+00  1.00000000E+00  0.00000000E+00
